backend,schema_version,branch_id,T_K,temperature_K,p_Pa,pressure_Pa,F,N_a_m3,log_w,w_m_s,log_n,log_q,n,n_kg_dry_air_inv,q,q_kg_kg,s,residual_norm,converged,stability,backend_step_index,source_file,auto_branch,auto_point,auto_type_code,auto_label,auto_l2_norm
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.2983173665,0.005000000000240183,9.1918055736,-17.304489915,9816.359146616069,9816.359146616069,3.053201856377264e-08,3.053201856377264e-08,1.5683097229,3.9427005902512925e-09,True,,0,raw/bs2026_T190K/b.bs2026_T190K,1,1,9,1,19.656913702
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.2751774977,0.005117048363345189,9.2148188293,-17.281361348,10044.885006010174,10044.885006010174,3.124640998010268e-08,3.124640998010268e-08,1.5683883218,1.1936380174936979e-12,True,,1,raw/bs2026_T190K/b.bs2026_T190K,1,2,0,0,19.647345317
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.257821634,0.005206634329403287,9.2320826556,-17.26401975,10219.803694513685,10219.803694513685,3.179299832062006e-08,3.179299832062006e-08,1.5684472644,1.6145206792635206e-12,True,,2,raw/bs2026_T190K/b.bs2026_T190K,1,3,0,0,19.640207609
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.2288952061,0.005359443113136313,9.2608557144,-17.235117091,10518.130005920422,10518.130005920422,3.2725308734029735e-08,3.2725308734029735e-08,1.568545502,3.49502304855757e-13,True,,3,raw/bs2026_T190K/b.bs2026_T190K,1,4,0,0,19.62837346
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.1999687931,0.005516736578321232,9.2896287918,-17.206214436,10825.1649626667,10825.1649626667,3.368495845071628e-08,3.368495845071628e-08,1.5686437397,8.771936214643928e-13,True,,4,raw/bs2026_T190K/b.bs2026_T190K,1,5,0,0,19.616616973
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.1710423948,0.005678646341558432,9.3184018878,-17.177311784,11141.162790592283,11141.162790592283,3.467274920595472e-08,3.467274920595472e-08,1.5687419774,1.5677609435274932e-12,True,,5,raw/bs2026_T190K/b.bs2026_T190K,1,6,0,0,19.604938288
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.1421160113,0.005845307880379511,9.3471750025,-17.148409136,11466.385138305328,11466.385138305328,3.568950617674493e-08,3.568950617674493e-08,1.568840215,1.7753005031861561e-12,True,,6,raw/bs2026_T190K/b.bs2026_T190K,1,7,0,0,19.593337542
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.1131896425,0.00601686064936135,9.3759481357,-17.119506492,11801.101289293923,11801.101289293923,3.673607877122713e-08,3.673607877122713e-08,1.5689384528,1.6651095677935432e-12,True,,7,raw/bs2026_T190K/b.bs2026_T190K,1,8,0,0,19.581814876
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.0842632884,0.006193448195119576,9.4047212875,-17.090603851,12145.588391696472,12145.588391696472,3.781334134335915e-08,3.781334134335915e-08,1.5690366905,9.804132915257395e-13,True,,8,raw/bs2026_T190K/b.bs2026_T190K,1,9,0,0,19.570370427
auto,figure1-branch-schema-v1,figure1_T190K,190.0,190.0,30000.0,30000.0,1.0,10000000000.0,-5.0553369491,0.006375218276326744,9.4334944579,-17.061701215,12500.131683313712,12500.131683313712,3.8922193773170425e-08,3.8922193773170425e-08,1.5691349282,1.661892119191055e-13,True,,9,raw/bs2026_T190K/b.bs2026_T190K,1,10,0,0,19.559004332
